Date,Id,Total,PublicitySpending
2022-03-12,1,16826,2971
2022-03-13,1,6498,942
2022-03-14,1,15441,1800
2022-03-15,1,14541,1260
2022-03-16,1,16681,2742
2022-03-17,1,10948,1511
2022-03-18,1,6143,840
2022-03-19,1,12462,2259
2022-03-20,1,17032,1860
2022-03-21,1,17393,1582
2022-03-22,1,10730,2028
2022-03-23,1,6705,392
2022-03-24,1,16967,1798
2022-03-25,1,15499,775
2022-03-26,1,12781,1956
2022-03-27,1,17893,1237
2022-03-28,1,17782,1054
2022-03-29,1,18110,1132
2022-03-30,1,15173,1820
2022-03-31,1,6449,324
2022-04-01,1,19371,1506
2022-04-02,1,8527,958
2022-04-03,1,12073,1653
2022-04-04,1,16503,3061
2022-04-05,1,14649,1641
2022-04-06,1,13930,907
2022-04-07,1,10892,1256
2022-04-08,1,14501,948
2022-04-09,1,6178,1170
2022-04-10,1,5699,472
2022-04-11,1,5757,706
2022-04-12,1,18250,1130
2022-04-13,1,6328,691
2022-04-14,1,13207,2320
2022-04-15,1,9838,1872
2022-04-16,1,14627,1927
2022-04-17,1,17947,2570
2022-04-18,1,14710,1330
2022-04-19,1,6689,683
2022-04-20,1,15236,1713
2022-04-21,1,14811,1197
2022-04-22,1,7885,734
2022-04-23,1,13724,1285
2022-04-24,1,7730,1310
2022-04-25,1,10756,947
2022-04-26,1,16269,2728
2022-04-27,1,6033,928
2022-04-28,1,9562,1331
2022-04-29,1,7650,1512
2022-04-30,1,14014,1516
2022-05-01,1,18948,1242
2022-05-02,1,15922,796
2022-05-03,1,9120,1693
2022-05-04,1,10257,1707
2022-05-05,1,19081,2381
2022-05-06,1,12528,1877
2022-05-07,1,6403,653
2022-05-08,1,12938,1168
2022-05-09,1,5382,789
2022-05-10,1,9803,1372
2022-05-11,1,5297,355
2022-05-12,1,5391,487
2022-05-13,1,5335,408
2022-05-14,1,11145,2036
2022-05-15,1,9204,513
2022-05-16,1,12670,1304
2022-05-17,1,7232,481
2022-05-18,1,8609,826
2022-05-19,1,5481,703
2022-05-20,1,11081,997
2022-05-21,1,14667,958
2022-05-22,1,15835,1944
2022-05-23,1,13038,761
2022-05-24,1,15075,2244
2022-05-25,1,10088,1557
2022-05-26,1,12271,2202
2022-05-27,1,14346,1315
2022-05-28,1,12581,2299
2022-05-29,1,14117,2226
2022-05-30,1,18448,1580
2022-05-31,1,11942,1361
2022-06-01,1,14470,2844
2022-06-02,1,19540,2211
2022-06-03,1,5186,531
2022-06-04,1,11353,1936
2022-06-05,1,10491,1332
2022-06-06,1,13549,1935
2022-06-07,1,10182,1087
2022-06-08,1,10927,2078
2022-06-09,1,8466,1490
2022-06-10,1,12102,838
2022-06-11,1,14250,2696
2022-06-12,1,17679,3524
2022-06-13,1,11693,1764
2022-06-14,1,13445,997
2022-06-15,1,17045,1014
2022-06-16,1,10615,713
2022-06-17,1,11685,1126
2022-06-18,1,17854,1619
2022-06-19,1,10485,1970
2022-06-20,1,19089,1856
2022-06-21,1,12385,1354
2022-06-22,1,12830,817
2022-06-23,1,10308,1286
2022-06-24,1,14835,2057
2022-06-25,1,17470,2145
2022-06-26,1,11453,1398
2022-06-27,1,12816,870
2022-06-28,1,14508,2654
2022-06-29,1,14585,837
2022-06-30,1,9827,1182
2022-07-01,1,16262,2984
2022-07-02,1,13440,2061
2022-07-03,1,7627,922
2022-07-04,1,5145,740
2022-07-05,1,9126,1252
2022-07-06,1,17277,3064
2022-07-07,1,11945,1921
2022-07-08,1,15297,1413
2022-07-09,1,12967,1414
2022-07-10,1,17767,1269
2022-07-11,1,5416,409
2022-07-12,1,7833,1344
2022-07-13,1,16082,996
2022-07-14,1,18020,3267
2022-07-15,1,5261,824
2022-07-16,1,19686,2723
2022-07-17,1,15273,1371
2022-07-18,1,19972,3756
2022-07-19,1,19971,1371
2022-07-20,1,11187,1030
2022-07-21,1,11940,690
2022-07-22,1,14924,2906
2022-07-23,1,17554,1704
2022-07-24,1,9731,1000
2022-07-25,1,15624,2406
2022-07-26,1,15599,1294
2022-07-27,1,9861,1883
2022-07-28,1,19283,1969
2022-07-29,1,5878,424
2022-07-30,1,6346,1073
2022-07-31,1,6804,444
2022-08-01,1,7894,1578
2022-08-02,1,16662,1986
2022-08-03,1,17435,2048
2022-08-04,1,13598,2454
2022-08-05,1,11524,1236
2022-08-06,1,18783,3543
2022-08-07,1,18715,2706
2022-08-08,1,11501,1516
2022-08-09,1,9814,1250
2022-08-10,1,11916,1687
2022-08-11,1,12784,1716
2022-08-12,1,13627,1828
2022-08-13,1,16729,1142
2022-08-14,1,9520,1388
2022-08-15,1,15376,1897
2022-08-16,1,16148,2903
2022-08-17,1,5680,375
2022-08-18,1,11356,643
2022-08-19,1,17488,3184
2022-08-20,1,14330,950
2022-08-21,1,15393,1864
2022-08-22,1,14682,1187
2022-08-23,1,7362,1132
2022-08-24,1,13564,2093
2022-08-25,1,10642,1819
2022-08-26,1,11483,1824
2022-08-27,1,13960,2531
2022-08-28,1,7107,679
2022-08-29,1,5529,518
2022-08-30,1,6363,931
2022-08-31,1,12522,2033
2022-09-01,1,9695,952
2022-09-02,1,17297,3399
2022-09-03,1,8905,1555
2022-09-04,1,19053,2110
2022-09-05,1,10127,1632
2022-09-06,1,12478,925
2022-09-07,1,11389,1236
2022-09-08,1,11123,1631
2022-09-09,1,10340,1579
2022-09-10,1,9939,1570
2022-09-11,1,11172,2075
2022-09-12,1,9597,1161
2022-09-13,1,6500,1241
2022-09-14,1,12053,908
2022-09-15,1,11340,786
2022-09-16,1,6384,1035
2022-09-17,1,6891,466
2022-09-18,1,13641,2090
2022-09-19,1,5969,322
2022-09-20,1,12367,1919
2022-09-21,1,14201,1658
2022-09-22,1,17426,3394
2022-09-23,1,5254,644
2022-09-24,1,18572,1526
2022-09-25,1,13805,963
2022-09-26,1,18581,2658
2022-09-27,1,17795,1511
2022-09-28,1,13049,1653
2022-09-29,1,8855,1425
2022-09-30,1,15191,1398
2022-10-01,1,8496,1545
2022-10-02,1,5717,310
2022-10-03,1,10881,1001
2022-10-04,1,14481,1283
2022-10-05,1,8380,942
2022-10-06,1,8531,566
2022-10-07,1,18298,1085
2022-10-08,1,8978,1289
2022-10-09,1,11364,1374
2022-10-10,1,11297,1423
2022-10-11,1,8527,1332
2022-10-12,1,10220,1243
2022-10-13,1,18284,2797
2022-10-14,1,8918,1273
2022-10-15,1,11890,1014
2022-10-16,1,7035,620
2022-10-17,1,14636,2617
2022-10-18,1,6770,974
2022-10-19,1,9832,1924
2022-10-20,1,12374,2372
2022-10-21,1,14696,1005
2022-10-22,1,16995,994
2022-10-23,1,19889,3156
2022-10-24,1,16522,892
2022-10-25,1,18583,1569
2022-10-26,1,19822,1796
2022-10-27,1,11885,1737
2022-10-28,1,9867,1357
2022-10-29,1,16993,2631
2022-10-30,1,13079,1515
2022-10-31,1,8018,1345
2022-11-01,1,16463,1669
2022-11-02,1,14256,2072
2022-11-03,1,8541,1607
2022-11-04,1,16488,1891
2022-11-05,1,10993,1455
2022-11-06,1,19872,2788
2022-11-07,1,19775,2552
2022-11-08,1,6401,697
2022-11-09,1,11311,1173
2022-11-10,1,15118,1190
2022-11-11,1,17401,1226
2022-11-12,1,13157,1513
2022-11-13,1,14878,2165
2022-11-14,1,14252,2433
2022-11-15,1,5752,534
2022-11-16,1,16900,2051
2022-11-17,1,13899,1631
2022-11-18,1,8945,1447
2022-11-19,1,15770,2645
2022-11-20,1,11833,1023
2022-11-21,1,14207,2768
2022-11-22,1,9746,821
2022-11-23,1,12469,1165
2022-11-24,1,6445,1145
2022-11-25,1,9722,1281
2022-11-26,1,10011,686
2022-11-27,1,18097,2166
2022-11-28,1,5808,454
2022-11-29,1,8820,1146
2022-11-30,1,18696,1270
2022-12-01,1,13958,2446
2022-12-02,1,11552,1137
2022-12-03,1,14162,1912
2022-12-04,1,18438,1451
2022-12-05,1,9502,731
2022-12-06,1,14555,2367
2022-12-07,1,13731,1003
2022-12-08,1,12680,1316
2022-12-09,1,5675,342
2022-12-10,1,10974,1220
2022-12-11,1,10484,1960
2022-12-12,1,8070,891
2022-12-13,1,15770,1783
2022-12-14,1,15529,1016
2022-12-15,1,12448,1006
2022-12-16,1,14125,1109
2022-12-17,1,9580,1125
2022-12-18,1,9749,1914
2022-12-19,1,6389,652
2022-12-20,1,15309,1474
2022-12-21,1,7023,1313
2022-12-22,1,5776,904
2022-12-23,1,8004,1305
2022-12-24,1,19032,3772
2022-12-25,1,6120,790
2022-12-26,1,8948,727
2022-12-27,1,10545,1229
2022-12-28,1,13652,1674
2022-12-29,1,14878,2098
2022-12-30,1,17938,2584
2022-12-31,1,8991,1627
2022-01-01,2,7871,652
2022-01-02,2,9567,1078
2022-01-03,2,17623,3097
2022-01-04,2,19019,2390
2022-01-05,2,10685,782
2022-01-06,2,17518,1429
2022-01-07,2,7065,880
2022-01-08,2,6452,517
2022-01-09,2,10130,911
2022-01-10,2,14808,1455
2022-01-11,2,18214,2873
2022-01-12,2,17644,2546
2022-01-13,2,9695,1233
2022-01-14,2,18178,2057
2022-01-15,2,16593,2486
2022-01-16,2,7964,1137
2022-01-17,2,16641,2065
2022-01-18,2,6368,431
2022-01-19,2,5757,402
2022-01-20,2,5055,935
2022-01-21,2,19402,2337
2022-01-22,2,11595,807
2022-01-23,2,15885,1042
2022-01-24,2,5001,758
2022-01-25,2,17888,1833
2022-01-26,2,18426,2910
2022-01-27,2,14056,1804
2022-01-28,2,9476,1197
2022-01-29,2,12255,1020
2022-01-30,2,19591,3048
2022-01-31,2,9137,1045
2022-02-01,2,10557,1269
2022-02-02,2,7722,728
2022-02-03,2,10618,966
2022-02-04,2,10901,614
2022-02-05,2,17875,1391
2022-02-06,2,19457,1542
2022-02-07,2,17425,2399
2022-02-08,2,5903,630
2022-02-09,2,13002,1594
2022-02-10,2,14135,1255
2022-02-11,2,12396,1185
2022-02-12,2,12139,2420
2022-02-13,2,14423,2331
2022-02-14,2,9397,1580
2022-02-15,2,12946,811
2022-02-16,2,10818,706
2022-02-17,2,18668,3140
2022-02-18,2,7007,1360
2022-02-19,2,8107,488
2022-02-20,2,15882,1785
2022-02-21,2,18912,3655
2022-02-22,2,12884,1269
2022-02-23,2,10029,1972
2022-02-24,2,11200,1288
2022-02-25,2,17077,3132
2022-02-26,2,18903,2297
2022-02-27,2,5280,395
2022-02-28,2,7588,728
2022-03-01,2,17184,1909
2022-03-02,2,14756,1688
2022-03-03,2,11386,2263
2022-03-04,2,17073,1784
2022-03-05,2,7201,1260
2022-03-06,2,11230,2228
2022-03-07,2,16726,3111
2022-03-08,2,6295,370
2022-03-09,2,11566,2113
2022-03-10,2,8799,908
2022-03-11,2,8973,769
2022-03-12,2,5693,523
2022-03-13,2,18858,1133
2022-03-14,2,13048,2263
2022-03-15,2,6007,436
2022-03-16,2,10710,1402
2022-03-17,2,9294,1189
2022-03-18,2,19890,1517
2022-03-19,2,19763,3210
2022-03-20,2,6477,960
2022-03-21,2,12963,1840
2022-03-22,2,9578,1128
2022-03-23,2,14038,1407
2022-03-24,2,13980,945
2022-03-25,2,9768,556
2022-03-26,2,16227,1130
2022-03-27,2,8910,1389
2022-03-28,2,7902,1520
2022-03-29,2,19679,3383
2022-03-30,2,14849,827
2022-03-31,2,7175,1265
2022-04-01,2,12590,2068
2022-04-02,2,18784,3627
2022-04-03,2,11202,1390
2022-04-04,2,5056,980
2022-04-05,2,11961,1119
2022-04-06,2,6590,1306
2022-04-07,2,5855,1078
2022-04-08,2,6571,500
2022-04-09,2,18702,3662
2022-04-10,2,14887,2633
2022-04-11,2,14144,2600
2022-04-12,2,8186,1400
2022-04-13,2,13895,2474
2022-04-14,2,18126,2787
2022-04-15,2,10761,1695
2022-04-16,2,14510,957
2022-04-17,2,8835,1226
2022-04-18,2,17463,2100
2022-04-19,2,7783,755
2022-04-20,2,9032,694
2022-04-21,2,8790,827
2022-04-22,2,5086,424
2022-04-23,2,19149,2885
2022-04-24,2,18257,3504
2022-04-25,2,8788,1552
2022-04-26,2,13247,1760
2022-04-27,2,18494,1725
2022-04-28,2,18652,1886
2022-04-29,2,16533,3220
2022-04-30,2,14669,941
2022-05-01,2,18585,3524
2022-05-02,2,6227,915
2022-05-03,2,6320,1129
2022-05-04,2,10523,1660
2022-05-05,2,10013,704
2022-05-06,2,5314,578
2022-05-07,2,15156,2853
2022-05-08,2,17102,1431
2022-05-09,2,19516,3894
2022-05-10,2,8983,754
2022-05-11,2,5765,505
2022-05-12,2,18631,1270
2022-05-13,2,6794,760
2022-05-14,2,6015,1089
2022-05-15,2,18165,2202
2022-05-16,2,9491,1033
2022-05-17,2,11486,1045
2022-05-18,2,18881,3326
2022-05-19,2,16307,2076
2022-05-20,2,11890,1672
2022-05-21,2,5405,913
2022-05-22,2,8922,758
2022-05-23,2,16290,1488
2022-05-24,2,11852,2232
2022-05-25,2,12557,1481
2022-05-26,2,5804,402
2022-05-27,2,8616,1450
2022-05-28,2,16102,2348
2022-05-29,2,12564,1396
2022-05-30,2,10021,850
2022-05-31,2,5922,1077
2022-06-01,2,16578,1060
2022-06-02,2,18727,2463
2022-06-03,2,19824,3750
2022-06-04,2,7485,609
2022-06-05,2,18631,3498
2022-06-06,2,11200,587
2022-06-07,2,6104,888
2022-06-08,2,12882,1670
2022-06-09,2,16046,2604
2022-06-10,2,11216,1298
2022-06-11,2,8434,1018
2022-06-12,2,15648,1902
2022-06-13,2,7485,999
2022-06-14,2,5348,1047
2022-06-15,2,9601,793
2022-06-16,2,12894,1976
2022-06-17,2,10055,1949
2022-06-18,2,10751,1915
2022-06-19,2,7434,1004
2022-06-20,2,17131,1274
2022-06-21,2,12680,1328
2022-06-22,2,11513,1641
2022-06-23,2,5757,936
2022-06-24,2,17348,1816
2022-06-25,2,14648,1169
2022-06-26,2,5114,842
2022-06-27,2,12604,2182
2022-06-28,2,13059,2511
2022-06-29,2,9653,633
2022-06-30,2,5772,367
2022-07-01,2,13178,2483
2022-07-02,2,17669,1824
2022-07-03,2,17376,1168
2022-07-04,2,15062,1383
2022-07-05,2,16068,2809
2022-07-06,2,16776,2622
2022-07-07,2,9373,1229
2022-07-08,2,10220,1144
2022-07-09,2,19059,2499
2022-07-10,2,7294,1286
2022-07-11,2,11803,2046
2022-07-12,2,5817,497
2022-07-13,2,13946,2153
2022-07-14,2,13661,1144
2022-07-15,2,12199,1843
2022-07-16,2,12096,1596
2022-07-17,2,18100,2635
2022-07-18,2,16324,1144
2022-07-19,2,9972,554
2022-07-20,2,9389,1281
2022-07-21,2,13101,1805
2022-07-22,2,11365,954
2022-07-23,2,13278,2626
2022-07-24,2,8302,1289
2022-07-25,2,17463,2641
2022-07-26,2,12766,667
2022-07-27,2,5195,924
2022-07-28,2,15101,2397
2022-07-29,2,16646,1424
2022-07-30,2,5146,298
2022-07-31,2,13051,934
2022-08-01,2,13893,2492
2022-08-02,2,8024,855
2022-08-03,2,12256,1308
2022-08-04,2,7654,1154
2022-08-05,2,16615,3031
2022-08-06,2,11548,2164
2022-08-07,2,17382,2033
2022-08-08,2,7544,1091
2022-08-09,2,18904,1683
2022-08-10,2,7857,1281
2022-08-11,2,17573,1424
2022-08-12,2,6727,1308
2022-08-13,2,15450,1484
2022-08-14,2,8493,1165
2022-08-15,2,10823,1982
2022-08-16,2,11480,1804
2022-08-17,2,5746,885
2022-08-18,2,7716,621
2022-08-19,2,14372,2633
2022-08-20,2,8550,754
2022-08-21,2,10707,1459
2022-08-22,2,19904,3023
2022-08-23,2,10545,1326
2022-08-24,2,17694,2271
2022-08-25,2,9177,940
2022-08-26,2,11196,1769
2022-08-27,2,16389,3149
2022-08-28,2,9676,984
2022-08-29,2,12929,1539
2022-08-30,2,14952,2963
2022-08-31,2,15990,2843
2022-09-01,2,17942,1399
2022-09-02,2,16646,1694
2022-09-03,2,11408,1149
2022-09-04,2,12664,950
2022-09-05,2,9749,1466
2022-09-06,2,15612,1725
2022-09-07,2,14506,729
2022-09-08,2,18376,1996
2022-09-09,2,19621,1318
2022-09-10,2,12642,1601
2022-09-11,2,6181,1023
2022-09-12,2,19179,3193
2022-09-13,2,17466,3373
2022-09-14,2,16931,2825
2022-09-15,2,14442,2854
2022-09-16,2,12984,2033
2022-09-17,2,14836,2649
2022-09-18,2,8195,1123
2022-09-19,2,9859,526
2022-09-20,2,12786,1245
2022-09-21,2,16143,1051
2022-09-22,2,12736,1134
2022-09-23,2,11137,1075
2022-09-24,2,10133,630
2022-09-25,2,11226,1174
2022-09-26,2,14441,2805
2022-09-27,2,15228,2183
2022-09-28,2,11564,1031
2022-09-29,2,14830,2065
2022-09-30,2,11553,1720
2022-10-01,2,10668,1605
2022-10-02,2,15058,2758
2022-10-03,2,17938,1821
2022-10-04,2,10490,1868
2022-10-05,2,9802,512
2022-10-06,2,5249,1002
2022-10-07,2,9354,1388
2022-10-08,2,6195,318
2022-10-09,2,16202,2758
2022-10-10,2,14797,2077
2022-10-11,2,5569,397
2022-10-12,2,12587,1638
2022-10-13,2,7242,543
2022-10-14,2,17516,3433
2022-10-15,2,7369,597
2022-10-16,2,13803,2318
2022-10-17,2,15163,2213
2022-10-18,2,7274,881
2022-10-19,2,12193,1951
2022-10-20,2,19834,2122
2022-10-21,2,14567,1962
2022-10-22,2,15732,2034
2022-10-23,2,11175,891
2022-10-24,2,10554,1995
2022-10-25,2,13974,2751
2022-10-26,2,5433,574
2022-10-27,2,10331,520
2022-10-28,2,16024,3034
2022-10-29,2,19960,3478
2022-10-30,2,12739,1751
2022-10-31,2,14802,1886
2022-11-01,2,16604,1868
2022-11-02,2,12129,2184
2022-11-03,2,10044,1825
2022-11-04,2,18604,3220
2022-11-05,2,19843,1482
2022-11-06,2,8365,1635
2022-11-07,2,14502,939
2022-11-08,2,11465,880
2022-11-09,2,16838,1547
2022-11-10,2,12289,1243
2022-11-11,2,11610,2085
2022-11-12,2,12040,1002
2022-11-13,2,15449,1772
2022-11-14,2,5999,301
2022-11-15,2,6436,373
2022-11-16,2,12136,1379
2022-11-17,2,10650,1014
2022-11-18,2,5124,977
2022-11-19,2,19228,2355
2022-11-20,2,11631,748
2022-11-21,2,8207,1064
2022-11-22,2,18295,2141
2022-11-23,2,5523,374
2022-11-24,2,11537,603
2022-11-25,2,15121,1929
2022-11-26,2,12510,2108
2022-11-27,2,15307,2048
2022-11-28,2,19686,3027
2022-11-29,2,17827,1972
2022-11-30,2,17924,2216
2022-12-01,2,7342,1109
2022-12-02,2,10532,772
2022-12-03,2,5881,604
2022-12-04,2,6844,1126
2022-12-05,2,9972,1091
2022-12-06,2,17312,2565
2022-12-07,2,19841,3738
2022-12-08,2,16384,1464
2022-12-09,2,9742,1754
2022-12-10,2,8192,775
2022-12-11,2,15241,2480
2022-12-12,2,18124,1753
2022-12-13,2,17556,3450
2022-12-14,2,19238,3493
2022-12-15,2,18000,1018
2022-12-16,2,15560,2350
2022-12-17,2,18549,1010
2022-12-18,2,16519,3107
2022-12-19,2,19190,1620
2022-12-20,2,19116,2970
2022-12-21,2,5829,1108
2022-12-22,2,6759,726
2022-12-23,2,5996,966
2022-12-24,2,18840,3303
2022-12-25,2,11178,1336
2022-12-26,2,17190,2567
2022-12-27,2,16232,1143
2022-12-28,2,16517,2826
2022-12-29,2,5932,548
2022-12-30,2,19665,3706
2022-12-31,2,9553,1001
2022-01-01,3,17880,2377
2022-01-02,3,17430,2962
2022-01-03,3,9887,517
2022-01-04,3,19195,1009
2022-01-05,3,10673,646
2022-01-06,3,17090,992
2022-01-07,3,10606,1079
2022-01-08,3,19915,2075
2022-01-09,3,11925,1176
2022-01-10,3,6181,953
2022-01-11,3,5278,266
2022-01-12,3,15844,2720
2022-01-13,3,18927,3547
2022-01-14,3,14570,1085
2022-01-15,3,15338,2354
2022-01-16,3,8879,903
2022-01-17,3,17025,874
2022-01-18,3,6238,503
2022-01-19,3,15315,2354
2022-01-20,3,14913,1049
2022-01-21,3,7433,851
2022-01-22,3,13740,2255
2022-01-23,3,18701,1878
2022-01-24,3,18633,2480
2022-01-25,3,9851,1326
2022-01-26,3,13595,1903
2022-01-27,3,8259,452
2022-01-28,3,18843,2288
2022-01-29,3,12073,1356
2022-01-30,3,6374,1146
2022-01-31,3,5213,747
2022-02-01,3,11748,2155
2022-02-02,3,10189,642
2022-02-03,3,9626,1053
2022-02-04,3,8159,418
2022-02-05,3,8066,1103
2022-02-06,3,8954,1784
2022-02-07,3,19280,1073
2022-02-08,3,7243,475
2022-02-09,3,11934,1201
2022-02-10,3,9396,1785
2022-02-11,3,19984,2558
2022-02-12,3,14536,1338
2022-02-13,3,8809,628
2022-02-14,3,7851,739
2022-02-15,3,9814,524
2022-02-16,3,17517,2854
2022-02-17,3,13439,800
2022-02-18,3,16221,1081
2022-02-19,3,5430,634
2022-02-20,3,12365,1825
2022-02-21,3,18315,3429
2022-02-22,3,15035,1399
2022-02-23,3,19389,2748
2022-02-24,3,9833,1730
2022-02-25,3,11716,1779
2022-02-26,3,10092,1456
2022-02-27,3,12997,1696
2022-02-28,3,9696,779
2022-03-01,3,7727,1427
2022-03-02,3,19015,3447
2022-03-03,3,9697,1736
2022-03-04,3,15082,2125
2022-03-05,3,11954,2306
2022-03-06,3,11546,2054
2022-03-07,3,10475,584
2022-03-08,3,13033,1455
2022-03-09,3,18468,3538
2022-03-10,3,5432,962
2022-03-11,3,19256,3015
2022-03-12,3,7768,822
2022-03-13,3,17860,2094
2022-03-14,3,11641,625
2022-03-15,3,19004,2110
2022-03-16,3,8104,1247
2022-03-17,3,16086,1656
2022-03-18,3,16168,2462
2022-03-19,3,9809,1516
2022-03-20,3,17785,2391
2022-03-21,3,15113,1614
2022-03-22,3,13960,2038
2022-03-23,3,8696,1545
2022-03-24,3,16130,1968
2022-03-25,3,8741,1298
2022-03-26,3,8921,508
2022-03-27,3,9546,636
2022-03-28,3,17950,3022
2022-03-29,3,10720,866
2022-03-30,3,11841,1418
2022-03-31,3,5444,765
2022-04-01,3,6544,416
2022-04-02,3,16565,2013
2022-04-03,3,11560,953
2022-04-04,3,17839,2882
2022-04-05,3,19678,2623
2022-04-06,3,13538,981
2022-04-07,3,14444,1841
2022-04-08,3,6653,1291
2022-04-09,3,14482,1633
2022-04-10,3,18775,1950
2022-04-11,3,14235,731
2022-04-12,3,13751,1687
2022-04-13,3,8003,946
2022-04-14,3,11483,1605
2022-04-15,3,9916,1798
2022-04-16,3,17490,1472
2022-04-17,3,16959,1131
2022-04-18,3,6460,705
2022-04-19,3,13768,841
2022-04-20,3,17332,2131
2022-04-21,3,17061,2119
2022-04-22,3,8936,1622
2022-04-23,3,18798,3275
2022-04-24,3,17810,3292
2022-04-25,3,9099,972
2022-04-26,3,19771,2958
2022-04-27,3,19907,1533
2022-04-28,3,14127,1912
2022-04-29,3,12243,1706
2022-04-30,3,16712,1501
2022-05-01,3,6637,801
2022-05-02,3,5175,528
2022-05-03,3,19552,2411
2022-05-04,3,17435,1055
2022-05-05,3,5515,355
2022-05-06,3,12981,737
2022-05-07,3,13047,1572
2022-05-08,3,7419,890
2022-05-09,3,8964,1474
2022-05-10,3,13808,2624
2022-05-11,3,10324,979
2022-05-12,3,15276,1138
2022-05-13,3,8003,980
2022-05-14,3,6983,497
2022-05-15,3,16378,1265
2022-05-16,3,9355,868
2022-05-17,3,9062,1753
2022-05-18,3,15771,1996
2022-05-19,3,18871,3720
2022-05-20,3,9935,531
2022-05-21,3,17212,911
2022-05-22,3,8608,1376
2022-05-23,3,8447,748
2022-05-24,3,19486,1491
2022-05-25,3,9762,1019
2022-05-26,3,13124,1809
2022-05-27,3,17308,2914
2022-05-28,3,11234,1654
2022-05-29,3,18101,2316
2022-05-30,3,19685,2839
2022-05-31,3,11836,1855
2022-06-01,3,14445,1306
2022-06-02,3,13725,1065
2022-06-03,3,18863,1281
2022-06-04,3,17554,1166
2022-06-05,3,11874,2166
2022-06-06,3,13582,1316
2022-06-07,3,10765,2061
2022-06-08,3,6007,535
2022-06-09,3,9432,626
2022-06-10,3,8599,1386
2022-06-11,3,10012,1931
2022-06-12,3,8237,633
2022-06-13,3,7558,729
2022-06-14,3,12684,2229
2022-06-15,3,12689,2073
2022-06-16,3,19636,3239
2022-06-17,3,10142,1306
2022-06-18,3,8695,1389
2022-06-19,3,18207,2617
2022-06-20,3,15612,2285
2022-06-21,3,11367,1933
2022-06-22,3,14996,1118
2022-06-23,3,13485,746
2022-06-24,3,8979,731
2022-06-25,3,13907,2745
2022-06-26,3,17643,2037
2022-06-27,3,13542,2466
2022-06-28,3,16848,3215
2022-06-29,3,16990,1987
2022-06-30,3,10190,916
2022-07-01,3,7800,1284
2022-07-02,3,14729,1976
2022-07-03,3,19856,1378
2022-07-04,3,6418,709
2022-07-05,3,15231,1419
2022-07-06,3,9772,1689
2022-07-07,3,10286,760
2022-07-08,3,14059,864
2022-07-09,3,18304,3062
2022-07-10,3,19393,3608
2022-07-11,3,16543,2479
2022-07-12,3,18523,2899
2022-07-13,3,16983,984
2022-07-14,3,10028,1812
2022-07-15,3,19126,2780
2022-07-16,3,5009,859
2022-07-17,3,8007,536
2022-07-18,3,6928,1221
2022-07-19,3,11032,830
2022-07-20,3,17906,2290
2022-07-21,3,18718,1432
2022-07-22,3,13673,1646
2022-07-23,3,9227,659
2022-07-24,3,11543,1578
2022-07-25,3,14642,2156
2022-07-26,3,13472,2449
2022-07-27,3,16886,1010
2022-07-28,3,5820,756
2022-07-29,3,5874,844
2022-07-30,3,9191,1587
2022-07-31,3,13313,2319
2022-08-01,3,5531,873
2022-08-02,3,8518,630
2022-08-03,3,7079,1371
2022-08-04,3,18239,2413
2022-08-05,3,9823,1063
2022-08-06,3,17657,1890
