Date,Id,AlgerianSales,SyrianSales,IndianSales,ChineseSales,EuropeanSales,TotalSales
2022-05-26,1,1877,1557,2198,1666,4817,12115
2022-05-27,1,1437,2067,3104,3968,2792,13368
2022-05-28,1,3674,2786,1451,4457,5152,17520
2022-05-29,1,1663,1472,2679,2586,3349,11749
2022-05-30,1,3688,1077,1558,3495,2117,11935
2022-05-31,1,3384,1962,3286,3773,5352,17757
2022-06-01,1,4535,2649,1385,2664,3861,15094
2022-06-02,1,2646,1586,2210,3636,5880,15958
2022-06-03,1,1480,2418,2915,3694,5040,15547
2022-06-04,1,2515,2493,2163,2286,5609,15066
2022-06-05,1,4398,954,3375,2941,5986,17654
2022-06-06,1,3224,2566,2463,4435,2062,14750
2022-06-07,1,4712,2701,1558,2430,2310,13711
2022-06-08,1,4508,2424,1780,1803,5495,16010
2022-06-09,1,1928,1273,1245,3671,4973,13090
2022-06-10,1,4984,2941,1841,2265,2478,14509
2022-06-11,1,3464,1487,2336,2436,3426,13149
2022-06-12,1,4738,2085,1712,4354,4713,17602
2022-06-13,1,1708,2803,1852,2515,3463,12341
2022-06-14,1,3305,1716,1838,2711,4807,14377
2022-06-15,1,4742,998,2410,3721,3700,15571
2022-06-16,1,3246,850,2913,3273,3712,13994
2022-06-17,1,2737,2399,3423,2100,4018,14677
2022-06-18,1,3140,1907,1684,2851,3201,12783
2022-06-19,1,4300,1614,2752,1965,3603,14234
2022-06-20,1,3510,2984,2075,2401,5908,16878
2022-06-21,1,3894,1753,2908,1601,3734,13890
2022-06-22,1,1269,1991,3491,2004,2822,11577
2022-06-23,1,1892,2107,1209,3363,2767,11338
2022-06-24,1,4607,1003,3154,1730,2437,12931
2022-06-25,1,3796,2717,3276,4029,5345,19163
2022-06-26,1,1484,1783,2892,4014,4473,14646
2022-06-27,1,3173,2999,3240,3298,3054,15764
2022-06-28,1,4129,2115,1558,3213,4313,15328
2022-06-29,1,3362,1316,1617,3590,3646,13531
2022-06-30,1,4438,1525,1373,4279,5065,16680
2022-07-01,1,4289,1846,2976,3122,3464,15697
2022-07-02,1,1222,2763,3021,3029,3508,13543
2022-07-03,1,2964,2703,1608,2495,3424,13194
2022-07-04,1,4254,1757,3334,3686,2149,15180
2022-07-05,1,4235,2609,2988,2627,3123,15582
2022-07-06,1,3015,1913,3636,4241,4462,17267
2022-07-07,1,4155,2484,3227,1987,3503,15356
2022-07-08,1,2391,2918,2747,1780,3273,13109
2022-07-09,1,3582,2879,1619,2579,4569,15228
2022-07-10,1,1532,1273,3662,4458,3309,14234
2022-07-11,1,3968,1155,2799,3648,5573,17143
2022-07-12,1,2707,1039,2114,3719,5195,14774
2022-07-13,1,1294,2693,2822,2251,5596,14656
2022-07-14,1,4811,858,3024,1583,2649,12925
2022-07-15,1,3598,1266,2385,2603,2165,12017
2022-07-16,1,3004,1158,3414,1876,4378,13830
2022-07-17,1,1191,2241,2356,3925,4988,14701
2022-07-18,1,1765,1220,1648,2860,2917,10410
2022-07-19,1,4601,1897,3138,3979,4141,17756
2022-07-20,1,2410,2316,2191,2342,2223,11482
2022-07-21,1,3058,2309,1352,2539,2940,12198
2022-07-22,1,1562,802,2044,3117,3439,10964
2022-07-23,1,1346,2439,2992,2567,3992,13336
2022-07-24,1,3773,922,2435,3099,4514,14743
2022-07-25,1,1233,1038,1942,2139,2880,9232
2022-07-26,1,2136,1094,3707,3768,4773,15478
2022-07-27,1,4115,1821,2192,4036,5000,17164
2022-07-28,1,3555,1374,1577,2458,2473,11437
2022-07-29,1,2182,2535,3826,2549,4751,15843
2022-07-30,1,1370,2978,2317,4338,3076,14079
2022-07-31,1,3178,2173,1673,4195,5203,16422
2022-08-01,1,3067,903,1220,3312,2028,10530
2022-08-02,1,2108,2559,3438,4036,3636,15777
2022-08-03,1,2545,2929,1752,3687,5352,16265
2022-08-04,1,4712,2451,3005,4153,2901,17222
2022-08-05,1,2324,2951,1862,2756,5393,15286
2022-08-06,1,1449,1301,3124,3529,2681,12084
2022-08-07,1,2379,1231,3741,3311,2910,13572
2022-08-08,1,4976,803,3468,2931,4425,16603
2022-08-09,1,2431,801,2883,1838,3764,11717
2022-08-10,1,2211,905,2107,2347,5895,13465
2022-08-11,1,4272,828,3949,2370,4578,15997
2022-08-12,1,3863,1478,3481,2065,2322,13209
2022-08-13,1,2998,2691,1913,3074,2058,12734
2022-08-14,1,1262,1840,2850,4034,2475,12461
2022-08-15,1,2663,1217,2277,2076,2399,10632
2022-08-16,1,4815,1965,3731,3916,3859,18286
2022-08-17,1,3376,2587,2645,3471,4610,16689
2022-08-18,1,1891,2715,1531,2420,5933,14490
2022-08-19,1,2327,1317,3169,4111,4699,15623
2022-08-20,1,4143,2872,3040,3792,2947,16794
2022-08-21,1,4985,1035,2735,3264,5789,17808
2022-08-22,1,1051,2326,3704,2102,3055,12238
2022-08-23,1,1559,2846,3224,4019,3487,15135
2022-08-24,1,2065,1790,3891,2458,2792,12996
2022-08-25,1,1367,922,2564,1806,3778,10437
2022-08-26,1,2053,2739,2062,2099,2314,11267
2022-08-27,1,4681,2802,2960,2720,5216,18379
2022-08-28,1,3615,2264,1625,1806,4464,13774
2022-08-29,1,1148,1552,2412,1620,4111,10843
2022-08-30,1,4640,1351,2628,2038,2517,13174
2022-08-31,1,4049,2109,1296,4062,2019,13535
2022-09-01,1,4540,2129,2865,2207,4779,16520
2022-09-02,1,3536,2853,2989,2637,3282,15297
2022-09-03,1,4233,2630,2404,1938,4505,15710
2022-09-04,1,4331,2945,1491,1507,2661,12935
2022-09-05,1,3094,2782,2727,2224,4226,15053
2022-09-06,1,4706,2994,1805,4151,4318,17974
2022-09-07,1,4627,1809,2674,2445,3776,15331
2022-09-08,1,1817,1994,2109,1782,5145,12847
2022-09-09,1,2957,2022,2643,3316,2570,13508
2022-09-10,1,3175,2115,2810,1555,5863,15518
2022-09-11,1,1019,2181,3622,2007,3518,12347
2022-09-12,1,1541,1319,3102,4201,5962,16125
2022-09-13,1,2278,2725,2284,2448,3055,12790
2022-09-14,1,2785,1148,3511,3979,5377,16800
2022-09-15,1,3313,2889,1537,2704,2552,12995
2022-09-16,1,3482,2010,1699,3673,2562,13426
2022-09-17,1,4531,1942,3862,2171,3824,16330
2022-09-18,1,1633,1258,2481,3068,2544,10984
2022-09-19,1,3451,1113,2214,3056,5155,14989
2022-09-20,1,1370,1797,1713,3439,5051,13370
2022-09-21,1,2394,2574,2982,2276,5313,15539
2022-09-22,1,4352,1532,1938,2798,4491,15111
2022-09-23,1,4001,1070,3778,3018,5991,17858
2022-09-24,1,4146,1501,2369,4332,5102,17450
2022-09-25,1,2262,1240,1418,2366,5161,12447
2022-09-26,1,2710,2405,1713,3388,2889,13105
2022-09-27,1,4915,1469,1849,3161,2127,13521
2022-09-28,1,1109,2942,2289,2861,2205,11406
2022-09-29,1,4395,2108,3873,4243,4288,18907
2022-09-30,1,3648,1410,1500,2559,5745,14862
2022-10-01,1,3881,2653,1400,2759,5069,15762
2022-10-02,1,4122,2176,2657,4392,3842,17189
2022-10-03,1,4093,1456,3920,2845,4278,16592
2022-10-04,1,4418,1829,3128,4474,3494,17343
2022-10-05,1,2191,1707,3923,3511,3409,14741
2022-10-06,1,1637,2341,3947,3411,5086,16422
2022-10-07,1,2264,1817,2394,4121,4397,14993
2022-10-08,1,2071,1770,1302,3437,4250,12830
2022-10-09,1,4257,1516,2864,2876,3894,15407
2022-10-10,1,3233,1065,2115,1869,4705,12987
2022-10-11,1,2474,1243,1435,3653,5639,14444
2022-10-12,1,1534,1325,2147,1914,5863,12783
2022-10-13,1,4262,2623,2966,2166,5181,17198
2022-10-14,1,2248,2482,1830,4478,4996,16034
2022-10-15,1,4965,2067,2467,4138,2544,16181
2022-10-16,1,3509,1947,1850,2713,3473,13492
2022-10-17,1,3274,2277,3684,2498,2280,14013
2022-10-18,1,3329,2755,1340,1571,2862,11857
2022-10-19,1,2651,2777,1597,4087,4120,15232
2022-10-20,1,1791,1946,1991,1724,2393,9845
2022-10-21,1,2355,2955,1444,2318,5557,14629
2022-10-22,1,1763,2144,3045,4305,3832,15089
2022-10-23,1,3996,2567,1272,3092,3579,14506
2022-10-24,1,3144,1713,3146,2364,4173,14540
2022-10-25,1,4877,1955,3602,4029,2679,17142
2022-10-26,1,4844,1895,3359,2111,3642,15851
2022-10-27,1,3268,977,1301,3575,3679,12800
2022-10-28,1,4697,1735,1270,1627,3463,12792
2022-10-29,1,4267,1296,1280,4084,4946,15873
2022-10-30,1,4661,2330,1743,2862,2208,13804
2022-10-31,1,2631,1147,3392,3484,4971,15625
2022-11-01,1,3429,2372,2603,1604,5447,15455
2022-11-02,1,3900,1361,3425,3584,2028,14298
2022-11-03,1,1695,2261,1529,2848,3629,11962
2022-11-04,1,1448,1901,2805,2837,4481,13472
2022-11-05,1,1640,2460,1405,4279,5741,15525
2022-11-06,1,3011,1047,2842,3989,4659,15548
2022-11-07,1,3938,1983,1541,3949,4560,15971
2022-11-08,1,1885,1632,1527,2672,4796,12512
2022-11-09,1,1252,915,2036,4159,4560,12922
2022-11-10,1,4604,2760,3746,2466,4550,18126
2022-11-11,1,2087,2303,3523,3518,2683,14114
2022-11-12,1,4179,890,2672,1709,5751,15201
2022-11-13,1,2798,1513,1968,1890,2628,10797
2022-11-14,1,2242,2659,3501,2628,3468,14498
2022-11-15,1,1866,2800,3790,2176,5100,15732
2022-11-16,1,2833,2516,3545,3542,5092,17528
2022-11-17,1,4738,1874,3298,4275,2135,16320
2022-11-18,1,1918,2832,3030,2781,5675,16236
2022-11-19,1,2480,1778,2648,2556,4431,13893
2022-11-20,1,1094,1238,3964,2460,3780,12536
2022-11-21,1,2518,1888,3689,3026,3923,15044
2022-11-22,1,3592,1893,3780,2840,2797,14902
2022-11-23,1,2225,904,3652,2912,3372,13065
2022-11-24,1,1462,2271,3190,3691,4798,15412
2022-11-25,1,2812,1585,3961,4199,4114,16671
2022-11-26,1,2712,2671,1988,3839,2620,13830
2022-11-27,1,2203,1622,2463,2794,5683,14765
2022-11-28,1,1893,1618,2700,1519,3772,11502
2022-11-29,1,3028,1985,3861,2443,5219,16536
2022-11-30,1,3748,1701,1975,2119,2683,12226
2022-12-01,1,1027,2133,1210,2690,2829,9889
2022-12-02,1,4293,2685,2828,3841,2113,15760
2022-12-03,1,4493,2691,3549,1561,2869,15163
2022-12-04,1,3441,2685,1284,3381,5488,16279
2022-12-05,1,3030,1077,1643,2896,5234,13880
2022-12-06,1,1462,2829,2793,1866,4583,13533
2022-12-07,1,4470,2224,2683,3860,4913,18150
2022-12-08,1,3999,2253,1644,2686,5935,16517
2022-12-09,1,1695,2133,2533,1861,5951,14173
2022-12-10,1,3915,1533,2456,3143,3792,14839
2022-12-11,1,2299,1130,2807,2631,3867,12734
2022-12-12,1,1164,2942,3055,3704,4208,15073
2022-12-13,1,2791,2219,2861,4390,5252,17513
2022-12-14,1,4498,1972,1960,3969,2943,15342
2022-12-15,1,2361,2875,3344,4094,4267,16941
2022-12-16,1,1731,1743,2443,4093,2939,12949
2022-12-17,1,4243,1132,1300,2286,2387,11348
2022-12-18,1,2904,3000,3823,2284,2685,14696
2022-12-19,1,4767,948,2742,4466,2317,15240
2022-12-20,1,1831,2209,3642,2707,2524,12913
2022-12-21,1,4547,2772,2932,1535,5316,17102
2022-12-22,1,2451,1149,1216,2230,2717,9763
2022-12-23,1,1443,979,1612,4472,2955,11461
2022-12-24,1,3582,1805,2616,3645,3536,15184
2022-12-25,1,3721,1683,1424,2357,2401,11586
2022-12-26,1,3837,2617,1477,3694,5760,17385
2022-12-27,1,4715,2637,1500,1668,4579,15099
2022-12-28,1,3207,2747,3407,3548,2005,14914
2022-12-29,1,1114,1514,1901,4312,3683,12524
2022-12-30,1,1898,2389,2534,2330,4464,13615
2022-12-31,1,3163,1193,2150,4141,3392,14039
2023-01-01,1,3639,1914,2565,3487,2815,14420
2023-01-02,1,4207,1075,2959,2138,5995,16374
2023-01-03,1,3956,1558,1695,4499,5857,17565
2023-01-04,1,2581,1494,1517,3399,4494,13485
2023-01-05,1,3461,1594,2134,3140,4726,15055
2023-01-06,1,2873,1097,1638,2881,4922,13411
2023-01-07,1,3380,1716,3030,3438,4005,15569
2023-01-08,1,3554,2066,3188,2592,3239,14639
2023-01-09,1,2086,1350,3101,2007,4740,13284
2023-01-10,1,4433,2186,2445,1810,4582,15456
2023-01-11,1,1868,2916,2097,1670,2312,10863
2023-01-12,1,2521,989,3553,2973,5165,15201
2023-01-13,1,2816,936,1251,1836,5033,11872
2023-01-14,1,2578,1248,2854,2559,4987,14226
2023-01-15,1,1606,1111,2323,1672,2365,9077
2023-01-16,1,3570,1808,1380,3088,4693,14539
2023-01-17,1,1353,1110,2222,4474,3122,12281
2023-01-18,1,2567,1746,2355,3837,2260,12765
2023-01-19,1,1558,1020,3814,1849,5068,13309
2023-01-20,1,3818,2383,1815,2189,3223,13428
2023-01-21,1,1506,2159,1504,4132,5346,14647
2023-01-22,1,1611,1430,1393,4048,4908,13390
2023-01-23,1,4907,2544,1773,2264,2955,14443
2023-01-24,1,3155,2136,1634,3289,3150,13364
2023-01-25,1,2573,1627,1351,1958,4165,11674
2023-01-26,1,2391,2193,3193,2623,3763,14163
2023-01-27,1,3682,945,1546,4067,3359,13599
2023-01-28,1,2241,1593,3278,3188,2528,12828
2023-01-29,1,1189,1302,2224,3825,3072,11612
2023-01-30,1,3399,2663,3395,4027,5423,18907
2023-01-31,1,3330,2484,2350,1916,4628,14708
2023-02-01,1,1028,2075,3371,3112,5852,15438
2023-02-02,1,4583,1642,3780,4435,5629,20069
2023-02-03,1,3636,936,3226,2222,5044,15064
2023-02-04,1,1581,2229,2790,3572,5718,15890
2023-02-05,1,3183,2699,2857,1881,2595,13215
2023-02-06,1,3852,1439,1817,3889,5326,16323
2023-02-07,1,3384,1423,1257,3989,2398,12451
2023-02-08,1,1360,2839,1394,3707,2369,11669
2023-02-09,1,1472,1877,3709,1576,3018,11652
2023-02-10,1,2956,1210,1795,3115,5875,14951
2023-02-11,1,1198,2222,2944,2926,5362,14652
2023-02-12,1,1892,1307,3358,2888,4283,13728
2023-02-13,1,3105,1685,2115,2832,5143,14880
2023-02-14,1,4434,2343,1893,1829,3408,13907
2023-02-15,1,3390,995,3550,2018,4372,14325
2023-02-16,1,4478,2762,2630,3883,4044,17797
2023-02-17,1,2167,1259,2389,3342,3027,12184
2023-02-18,1,1028,1321,1974,3655,3369,11347
2023-02-19,1,3848,2329,2860,1985,4403,15425
2023-02-20,1,1544,2640,3133,2675,3807,13799
2023-02-21,1,4369,985,1808,2126,2997,12285
2023-02-22,1,2889,1555,1754,2151,4227,12576
2023-02-23,1,4648,1521,1321,4394,2216,14100
2023-02-24,1,3889,1238,1958,4100,5543,16728
2023-02-25,1,3757,1239,3443,4379,3557,16375
2023-02-26,1,4014,2296,2385,3228,3800,15723
2023-02-27,1,4851,1169,3495,4168,2318,16001
2023-02-28,1,3475,1204,1293,2686,4240,12898
2023-03-01,1,1785,1620,3466,1874,3101,11846
2023-03-02,1,1120,1753,3493,2512,4623,13501
2023-03-03,1,3828,2588,2568,4076,3241,16301
2023-03-04,1,2619,2599,3049,4192,3623,16082
2023-03-05,1,1796,1183,3850,3379,2271,12479
2023-03-06,1,2022,2044,3598,2135,5934,15733
2023-03-07,1,1969,1497,3758,2569,5549,15342
2023-03-08,1,4653,987,3861,2092,3977,15570
2023-03-09,1,3944,1888,3180,3116,3605,15733
2023-03-10,1,3875,2478,2441,3871,4111,16776
2023-03-11,1,1154,1788,2482,2648,3839,11911
2023-03-12,1,3171,893,1649,1728,3444,10885
2023-03-13,1,4503,1965,3503,4072,5069,19112
2023-03-14,1,1969,2673,3488,3159,2604,13893
2023-03-15,1,4378,1165,3196,1650,2412,12801
2023-03-16,1,2740,2748,1231,2497,5805,15021
2023-03-17,1,3314,2600,2583,1810,4823,15130
2023-03-18,1,1599,2910,2275,2512,2951,12247
2023-03-19,1,1319,2952,1635,2362,5297,13565
2023-03-20,1,4902,1663,1957,4318,4401,17241
2023-03-21,1,4254,2325,2791,3351,2586,15307
2023-03-22,1,3620,2907,1218,3677,4507,15929
2023-03-23,1,4502,2854,2670,2167,3411,15604
2023-03-24,1,4358,1363,1969,3953,4632,16275
2023-03-25,1,2833,1531,1770,1747,4956,12837
2023-03-26,1,2651,889,3051,4195,5089,15875
2023-03-27,1,4016,1916,2409,2321,2543,13205
2023-03-28,1,2471,2675,3091,2356,3046,13639
2023-03-29,1,2832,1189,3133,3812,3225,14191
2023-03-30,1,2057,1016,1392,4348,4877,13690
2023-03-31,1,3575,850,3403,1532,5811,15171
2023-04-01,1,1513,1847,2750,3790,2140,12040
2023-04-02,1,4662,1874,3792,3340,3022,16690
2023-04-03,1,2376,1094,3002,4316,3468,14256
2023-04-04,1,4061,2052,2402,3475,4335,16325
2023-04-05,1,3686,2531,3540,2486,4215,16458
2023-04-06,1,1132,857,1683,1726,3465,8863
2023-04-07,1,4021,1986,1839,1580,3163,12589
2023-04-08,1,4085,2709,3325,1937,3598,15654
2023-04-09,1,3701,2374,1727,4371,5114,17287
2023-04-10,1,4416,1639,2611,1571,4426,14663
2023-04-11,1,4176,2771,1587,1706,4912,15152
2023-04-12,1,3706,2296,3750,1597,4504,15853
2023-04-13,1,2984,1737,1341,2268,2114,10444
2023-04-14,1,2146,1094,2602,2606,4431,12879
2023-04-15,1,2570,1255,2091,4309,2543,12768
2023-04-16,1,3537,1800,2002,2742,4933,15014
2023-04-17,1,2378,1292,1874,1594,3906,11044
2023-04-18,1,4408,995,3172,4023,5237,17835
2023-04-19,1,1141,1436,3934,3148,5106,14765
2023-04-20,1,3535,2076,1270,1508,2110,10499
2023-04-21,1,3467,1953,3202,3865,2566,15053
2023-04-22,1,1163,2840,1649,4411,5977,16040
2023-04-23,1,1395,2919,1832,2846,4027,13019
2023-04-24,1,3246,1999,1945,2907,2028,12125
2023-04-25,1,2790,1494,2842,4238,2678,14042
2023-04-26,1,3371,2618,2237,4424,4734,17384
2023-04-27,1,2528,1584,3014,3250,2225,12601
2023-04-28,1,1756,1514,2714,3806,3850,13640
2023-04-29,1,1273,1400,1823,4143,4463,13102
2023-04-30,1,2715,2122,1841,3515,2825,13018
2023-05-01,1,4066,1029,2463,3671,2762,13991
2023-05-02,1,1939,2657,2341,3393,3023,13353
2023-05-03,1,2591,1679,1672,2669,5426,14037
2023-05-04,1,3225,1872,1922,2733,3920,13672
2023-05-05,1,3599,2048,2132,2535,4775,15089
2023-05-06,1,2238,1597,3488,2892,3895,14110
2023-05-07,1,1265,2795,1697,1527,2401,9685
2023-05-08,1,1132,2621,1689,4179,2503,12124
2023-05-09,1,3574,883,1982,3682,5185,15306
2023-05-10,1,1060,1023,3893,3443,2249,11668
2023-05-11,1,1759,2753,2648,3872,3443,14475
2023-05-12,1,3771,1158,2728,4297,4465,16419
2023-05-13,1,1046,801,1942,2558,5486,11833
2023-05-14,1,2555,2132,2559,4314,4544,16104
2023-05-15,1,3201,2385,3701,1784,4200,15271
2023-05-16,1,2363,1043,2640,2563,4748,13357
2023-05-17,1,2013,2116,2660,2231,2503,11523
2023-05-18,1,2737,1626,2983,4460,4223,16029
2023-05-19,1,3794,2775,3122,2858,3907,16456
2023-05-20,1,3166,1822,2908,4058,2769,14723
2023-05-21,1,1145,1272,3176,3661,3992,13246
2023-05-22,1,2741,1784,3363,3985,5376,17249
2023-05-23,1,4160,2455,3934,2853,5481,18883
2023-05-24,1,1927,971,1646,2309,3156,10009
2023-05-25,1,2428,2640,1764,4010,5008,15850
2023-05-26,1,2907,2322,3646,2533,4799,16207
2023-05-27,1,2885,2565,1546,3045,5062,15103
2023-05-28,1,4371,991,1234,3995,4247,14838
2023-05-29,1,2849,2616,3673,4179,5638,18955
2023-05-30,1,3348,2203,3754,3504,5317,18126
2023-05-31,1,3631,2920,3780,2487,5549,18367
